Protein id,number in CRISPR array,Number in genome sequences,Co-occurance,BLASTp derived description,
5928|*|gene_514061|GeneMark.hmm|1032_aa|-|26901|29999,2438,81127,0.030051647,,
11730|*|gene_14988|GeneMark.hmm|831_aa|+|13285|15780,2324,77402,0.030025064,,
10860|*|gene_1133215|GeneMark.hmm|852_aa|+|31710|34268,5006,166840,0.030004795,,
1923|*|gene_2711179|GeneMark.hmm|1365_aa|+|11624|15721,2264,75636,0.029932836,,
4236|*|gene_2811422|GeneMark.hmm|1127_aa|+|146339|149722,1273,42586,0.029892453,,
1313|*|gene_2425308|GeneMark.hmm|1486_aa|-|5192|9652,2402,80386,0.029880825,,
11641|*|gene_1632051|GeneMark.hmm|835_aa|-|8277|10784,8,268,0.029850746,,
4623|*|gene_1563629|GeneMark.hmm|1102_aa|+|21799|25107,6,202,0.02970297,,
11554|*|gene_364276|GeneMark.hmm|837_aa|+|31271|33784,4618,156087,0.029586064,,
11739|*|gene_1722361|GeneMark.hmm|832_aa|-|28642|31140,2484,83978,0.029579175,,
3804|*|gene_1009175|GeneMark.hmm|1159_aa|+|13448|16927,7,237,0.029535865,,
5472|*|gene_9077|GeneMark.hmm|1052_aa|-|97590|100748,325,11013,0.029510578,,
6198|*|gene_968566|GeneMark.hmm|1021_aa|+|11216|14281,2423,82344,0.029425338,,
7830|*|gene_2474992|GeneMark.hmm|947_aa|-|1|2841,10878,371061,0.029315935,,
5885|*|gene_3469622|GeneMark.hmm|1034_aa|-|12566|15670,2404,82268,0.029221569,,
6275|*|gene_32383|GeneMark.hmm|1015_aa|+|4383|7430,7,240,0.029166667,,
15515|*|gene_1615085|GeneMark.hmm|758_aa|-|5641|7917,2413,82782,0.029148849,,
5749|*|gene_1417650|GeneMark.hmm|1041_aa|-|31306|34431,2333,80062,0.029139917,,
4608|*|gene_2778010|GeneMark.hmm|1103_aa|-|398|3709,2345,80613,0.029089601,,
5721|*|gene_968645|GeneMark.hmm|1043_aa|+|15937|19068,2488,85576,0.029073572,,
444|*|gene_3468762|GeneMark.hmm|1953_aa|+|483|6344,2597,89347,0.029066449,,
15517|*|gene_4876948|GeneMark.hmm|758_aa|-|10018|12294,1935,67160,0.028811793,,
13200|*|gene_4505197|GeneMark.hmm|802_aa|-|5426|7834,1908,66298,0.028779149,,
3856|*|gene_2732130|GeneMark.hmm|1155_aa|+|3399|6866,2392,83180,0.028756913,,
4583|*|gene_1924480|GeneMark.hmm|1104_aa|+|34615|37929,2178,75771,0.028744506,,
7880|*|gene_245056|GeneMark.hmm|944_aa|-|1490|4324,2149,75019,0.028646076,,
5832|*|gene_3104173|GeneMark.hmm|1037_aa|+|10746|13859,2329,81306,0.028644872,,
9003|*|gene_903578|GeneMark.hmm|905_aa|+|24956|27673,4628,161567,0.028644463,,
5513|*|gene_4513634|GeneMark.hmm|1052_aa|-|3138|6296,2434,85280,0.028541276,,
5837|*|gene_4884090|GeneMark.hmm|1037_aa|-|649|3762,2285,80083,0.028532897,,
10484|*|gene_1189384|GeneMark.hmm|861_aa|+|25525|28110,3524,123641,0.028501872,,
4404|*|gene_4899432|GeneMark.hmm|1115_aa|+|14484|17831,2287,80290,0.028484245,,
9408|*|gene_2837366|GeneMark.hmm|893_aa|+|2|2683,7,246,0.028455285,,
5594|*|gene_1430623|GeneMark.hmm|1048_aa|+|7039|10185,2288,80430,0.028447097,,
11373|*|gene_3812851|GeneMark.hmm|841_aa|+|12049|14574,2387,84215,0.028344119,,
5492|*|gene_592481|GeneMark.hmm|1053_aa|+|28896|32057,2270,80240,0.02829013,,
13171|*|gene_4261653|GeneMark.hmm|802_aa|+|14693|17101,2493,88206,0.028263383,,
11748|*|gene_3911633|GeneMark.hmm|832_aa|+|359|2857,2456,87132,0.028187118,,
4827|*|gene_2254065|GeneMark.hmm|1090_aa|-|29937|33209,63,2238,0.028150134,,
13057|*|gene_9441|GeneMark.hmm|803_aa|+|3534|5945,31,1104,0.02807971,,
3876|*|gene_1780950|GeneMark.hmm|1154_aa|-|9741|13205,2258,80615,0.028009676,,
4225|*|gene_4868544|GeneMark.hmm|1128_aa|-|20325|23711,2149,76797,0.027982864,,
4740|*|gene_2471114|GeneMark.hmm|1096_aa|-|7371|10661,2265,81080,0.027935372,,
2316|*|gene_4108608|GeneMark.hmm|1319_aa|-|26767|30726,2428,86921,0.027933411,,
5347|*|gene_2494429|GeneMark.hmm|1061_aa|-|1695|4880,2236,80073,0.027924519,,
5499|*|gene_1912077|GeneMark.hmm|1052_aa|-|31694|34852,5216,187026,0.02788917,,
6904|*|gene_4104208|GeneMark.hmm|987_aa|+|4396|7359,2230,80057,0.027855153,,
5105|*|gene_4895813|GeneMark.hmm|1075_aa|-|25230|28457,2231,80102,0.027851989,,
1486|*|gene_4340618|GeneMark.hmm|1446_aa|-|5905|10245,2301,82766,0.027801271,,
4188|*|gene_630552|GeneMark.hmm|1130_aa|+|29754|33146,2262,81564,0.027732823,,
6296|*|gene_3853467|GeneMark.hmm|1016_aa|-|8722|11772,5058,182654,0.027691701,,
4350|*|gene_2424855|GeneMark.hmm|1119_aa|-|6121|9480,2212,80109,0.027612378,,
6059|*|gene_1454758|GeneMark.hmm|1027_aa|+|23196|26279,2262,82467,0.027429153,,
13377|*|gene_37545|GeneMark.hmm|797_aa|-|9105|11498,2,73,0.02739726,,
3919|*|gene_4489024|GeneMark.hmm|1150_aa|-|8236|11688,2233,81733,0.027320666,,
7390|*|gene_2201829|GeneMark.hmm|965_aa|-|22704|25601,2053,75612,0.027151775,,
1111|*|gene_4142073|GeneMark.hmm|1551_aa|-|1197|5852,2179,80373,0.027111095,,
7238|*|gene_4162481|GeneMark.hmm|972_aa|+|380|3298,4,148,0.027027027,,
9168|*|gene_12423|GeneMark.hmm|899_aa|-|4042|6741,9,333,0.027027027,,
7031|*|gene_1860793|GeneMark.hmm|982_aa|+|35453|38401,2495,92391,0.027004795,,
4948|*|gene_355709|GeneMark.hmm|1084_aa|-|1191|4445,3437,127823,0.026888745,,
4066|*|gene_1978582|GeneMark.hmm|1138_aa|-|7418|10834,2162,80434,0.02687918,,
9181|*|gene_2124198|GeneMark.hmm|900_aa|+|27715|30417,2189,81497,0.026859884,,
15002|*|gene_3912481|GeneMark.hmm|767_aa|+|9756|12059,4346,161902,0.026843399,,
3447|*|gene_3527896|GeneMark.hmm|1189_aa|-|15649|19218,2188,81594,0.026815697,,
6323|*|gene_1672332|GeneMark.hmm|1015_aa|-|31912|34959,2242,83797,0.026755134,,
5005|*|gene_1074447|GeneMark.hmm|1080_aa|+|25932|29174,2245,83937,0.02674625,,
4212|*|gene_3119502|GeneMark.hmm|1129_aa|-|2007|5396,2164,80964,0.026727928,,
6366|*|gene_1842881|GeneMark.hmm|1013_aa|+|36509|39550,2173,81485,0.026667485,,
10257|*|gene_2637978|GeneMark.hmm|868_aa|-|3|2606,5407,202780,0.026664365,,
10932|*|gene_4372445|GeneMark.hmm|850_aa|-|2331|4883,2155,80844,0.026656276,,
12643|*|gene_43271|GeneMark.hmm|811_aa|-|5003|7438,42,1576,0.026649746,,
3912|*|gene_3818300|GeneMark.hmm|1151_aa|+|13376|16831,3767,141445,0.02663226,,
4194|*|gene_304412|GeneMark.hmm|1130_aa|-|2942|6334,2147,80682,0.026610644,,
14433|*|gene_2696758|GeneMark.hmm|777_aa|-|13852|16185,2197,82583,0.026603538,,
1694|*|gene_2477378|GeneMark.hmm|1401_aa|-|4909|9114,2446,92026,0.026579445,,
13419|*|gene_2339131|GeneMark.hmm|797_aa|-|7935|10328,9046,340681,0.026552699,,
3641|*|gene_3154752|GeneMark.hmm|1172_aa|+|315|3833,2206,83124,0.026538665,,
12375|*|gene_666622|GeneMark.hmm|818_aa|-|9877|12333,3303,124493,0.026531612,,
7690|*|gene_4685120|GeneMark.hmm|953_aa|+|27746|30607,1019,38431,0.026515053,,
4496|*|gene_3969301|GeneMark.hmm|1109_aa|-|1135|4464,33,1245,0.026506024,,
8|*|gene_2172725|GeneMark.hmm|5796_aa|+|12015|29405,20721,782943,0.026465528,,
13998|*|gene_4911764|GeneMark.hmm|785_aa|+|4759|7116,2064,78114,0.02642292,,
1826|*|gene_3360604|GeneMark.hmm|1379_aa|+|16493|20632,4506,171658,0.026249869,,
6367|*|gene_246203|GeneMark.hmm|1012_aa|+|25652|28690,2285,87302,0.026173513,,
2249|*|gene_42458|GeneMark.hmm|1326_aa|+|26123|30103,39,1491,0.026156942,,
10015|*|gene_31693|GeneMark.hmm|873_aa|+|33491|36112,2035,78058,0.026070358,,
11521|*|gene_5512|GeneMark.hmm|836_aa|+|122213|124723,5,192,0.026041667,,
6010|*|gene_4347145|GeneMark.hmm|1029_aa|-|8420|11509,2083,80004,0.026036198,,
1852|*|gene_40395|GeneMark.hmm|1375_aa|+|149|4276,10,386,0.025906736,,
1042|*|gene_3594715|GeneMark.hmm|1574_aa|-|37060|41784,2471,95487,0.025877868,,
7393|*|gene_2811088|GeneMark.hmm|965_aa|+|3|2900,2078,80329,0.025868615,,
8925|*|gene_943046|GeneMark.hmm|908_aa|-|3|2726,2149,83082,0.025866012,,
11272|*|gene_24120|GeneMark.hmm|842_aa|-|11250|13778,2069,80001,0.025862177,,
3783|*|gene_4014055|GeneMark.hmm|1160_aa|+|4094|7576,3,116,0.025862069,,
10703|*|gene_4271101|GeneMark.hmm|856_aa|+|27662|30232,132,5106,0.025851939,,
1898|*|gene_2127254|GeneMark.hmm|1368_aa|-|27020|31126,5139,198985,0.025826067,,
11174|*|gene_37027|GeneMark.hmm|844_aa|-|25781|28315,26,1007,0.025819265,,
2248|*|gene_22935|GeneMark.hmm|1327_aa|+|28895|32878,4,155,0.025806452,,
15586|*|gene_2328975|GeneMark.hmm|756_aa|-|3844|6114,2064,80049,0.025784207,,
457|*|gene_1256541|GeneMark.hmm|1934_aa|-|14941|20745,10459,405813,0.025772955,,
15311|*|gene_3931195|GeneMark.hmm|761_aa|+|2123|4408,2103,81700,0.025740514,,
15157|*|gene_3141193|GeneMark.hmm|764_aa|+|31755|34049,2106,81876,0.025721823,,
1013|*|gene_1918999|GeneMark.hmm|1586_aa|+|5391|10151,4078,158725,0.025692235,,
1675|*|gene_4127384|GeneMark.hmm|1405_aa|-|14769|18986,2057,80075,0.025688417,,
5456|*|gene_2230233|GeneMark.hmm|1055_aa|-|885|4052,2069,80746,0.02562356,,
5168|*|gene_2262785|GeneMark.hmm|1071_aa|+|800|4015,2366,92445,0.025593596,,
3343|*|gene_1770347|GeneMark.hmm|1198_aa|-|34014|37610,27,1059,0.025495751,,
4168|*|gene_41384|GeneMark.hmm|1130_aa|-|28467|31859,4,157,0.025477707,,
328|*|gene_3355150|GeneMark.hmm|2094_aa|-|18217|24501,48,1886,0.025450689,,
2029|*|gene_4182638|GeneMark.hmm|1351_aa|-|1063|5118,2136,84147,0.025384149,,
4664|*|gene_29978|GeneMark.hmm|1098_aa|-|762|4058,14,553,0.025316456,,
1033|*|gene_10376|GeneMark.hmm|1576_aa|+|55698|60428,859,33962,0.025292975,,
11496|*|gene_1717181|GeneMark.hmm|838_aa|-|13252|15768,127,5022,0.02528873,,
1210|*|gene_3136890|GeneMark.hmm|1518_aa|-|3|4556,6382,252495,0.025275748,,
2496|*|gene_2525121|GeneMark.hmm|1295_aa|-|1072|4959,3683,145957,0.025233459,,
13300|*|gene_260470|GeneMark.hmm|799_aa|-|2913|5312,3505,139223,0.025175438,,
11594|*|gene_4011503|GeneMark.hmm|836_aa|-|4094|6604,2040,81277,0.025099352,,
672|*|gene_4487445|GeneMark.hmm|1770_aa|-|19328|24640,16,638,0.02507837,,
11316|*|gene_7150|GeneMark.hmm|841_aa|-|3114|5639,224,8944,0.025044723,,
11983|*|gene_2100366|GeneMark.hmm|827_aa|-|27910|30393,2090,83620,0.024994021,,
8435|*|gene_4446070|GeneMark.hmm|924_aa|-|20241|23015,73,2928,0.024931694,,
3368|*|gene_4705|GeneMark.hmm|1195_aa|-|198939|202526,6,241,0.024896266,,
9012|*|gene_2936756|GeneMark.hmm|905_aa|+|1177|3894,2021,81410,0.02482496,,
5694|*|gene_4805387|GeneMark.hmm|1044_aa|-|537|3671,1934,77934,0.02481587,,
9100|*|gene_4488672|GeneMark.hmm|902_aa|-|3|2708,57,2298,0.024804178,,
4029|*|gene_3517900|GeneMark.hmm|1141_aa|-|2158|5583,2046,82525,0.024792487,,
11752|*|gene_1010484|GeneMark.hmm|832_aa|+|241|2739,202,8152,0.024779195,,
5164|*|gene_2271724|GeneMark.hmm|1071_aa|+|2595|5810,2100,84815,0.024759771,,
12893|*|gene_19827|GeneMark.hmm|806_aa|-|35615|38035,117,4733,0.024720051,,
6255|*|gene_2728373|GeneMark.hmm|1019_aa|+|6014|9073,2158,87389,0.024694183,,
15486|*|gene_38629|GeneMark.hmm|757_aa|+|8221|10494,5,203,0.024630542,,
638|*|gene_31367|GeneMark.hmm|1795_aa|+|7028|12415,14,569,0.024604569,,
10610|*|gene_2008770|GeneMark.hmm|858_aa|+|32660|35236,2139,87144,0.02454558,,
14114|*|gene_1645547|GeneMark.hmm|783_aa|+|9337|11688,2024,82618,0.024498293,,
4895|*|gene_4915776|GeneMark.hmm|1086_aa|-|24538|27798,198,8117,0.024393249,,
5621|*|gene_14326|GeneMark.hmm|1045_aa|+|10305|13442,22,903,0.024363234,,
3612|*|gene_6895|GeneMark.hmm|1173_aa|+|38243|41764,1869,76869,0.024314093,,
9700|*|gene_1187169|GeneMark.hmm|884_aa|-|26495|29149,2032,83791,0.024250815,,
4222|*|gene_148932|GeneMark.hmm|1128_aa|+|27409|30795,1960,80938,0.024216067,,
7970|*|gene_3514366|GeneMark.hmm|941_aa|+|2373|5198,806,33336,0.024178066,,
7897|*|gene_10919|GeneMark.hmm|942_aa|-|6715|9543,5,207,0.024154589,,
9646|*|gene_978065|GeneMark.hmm|885_aa|-|34972|37629,1965,81384,0.024144795,,
1729|*|gene_4903207|GeneMark.hmm|1395_aa|+|4738|8925,2129,88280,0.024116448,,
7030|*|gene_1067784|GeneMark.hmm|982_aa|+|32043|34991,1979,82519,0.023982356,,
6810|*|gene_4660376|GeneMark.hmm|991_aa|+|20091|23066,60,2505,0.023952096,,
6733|*|gene_1054|GeneMark.hmm|993_aa|-|94686|97667,1809,75811,0.023861973,,
9411|*|gene_29572|GeneMark.hmm|891_aa|-|286|2961,1449,61059,0.023731145,,
3706|*|gene_4499275|GeneMark.hmm|1167_aa|+|16543|20046,2027,85787,0.023628289,,
10915|*|gene_4827570|GeneMark.hmm|851_aa|-|10613|13168,1944,82336,0.023610571,,
3723|*|gene_1573288|GeneMark.hmm|1165_aa|+|27593|31090,1938,82098,0.023605934,,
1769|*|gene_3584229|GeneMark.hmm|1388_aa|+|179|4345,6776,288148,0.023515693,,
7108|*|gene_27136|GeneMark.hmm|976_aa|+|34059|36989,7,298,0.023489933,,
2350|*|gene_4531673|GeneMark.hmm|1314_aa|+|23971|27915,2230,95035,0.023465039,,
2793|*|gene_17547|GeneMark.hmm|1251_aa|+|27955|31710,24,1026,0.023391813,,
2598|*|gene_2288335|GeneMark.hmm|1281_aa|-|511|4356,1972,84332,0.023383769,,
3732|*|gene_1558659|GeneMark.hmm|1165_aa|+|11222|14719,1955,83626,0.023377897,,
10754|*|gene_1835875|GeneMark.hmm|855_aa|+|13707|16274,2033,87768,0.02316334,,
3697|*|gene_47483|GeneMark.hmm|1166_aa|+|15101|18601,30,1299,0.023094688,,
3133|*|gene_418874|GeneMark.hmm|1217_aa|-|4471|8124,2038,88478,0.023033975,,
3298|*|gene_1325309|GeneMark.hmm|1203_aa|+|29350|32961,310,13482,0.022993621,,
8897|*|gene_4873972|GeneMark.hmm|909_aa|+|6874|9603,2669,116711,0.022868453,,
2322|*|gene_2281893|GeneMark.hmm|1318_aa|+|11845|15801,4,175,0.022857143,,
11124|*|gene_1261508|GeneMark.hmm|846_aa|+|33839|36379,1872,81975,0.022836231,,
4268|*|gene_1722487|GeneMark.hmm|1125_aa|+|18742|22119,235,10312,0.022788984,,
3995|*|gene_4198038|GeneMark.hmm|1144_aa|+|6077|9511,1799,79070,0.022751992,,
2186|*|gene_2219423|GeneMark.hmm|1333_aa|+|4826|8827,7301,321755,0.022691178,,
7868|*|gene_38|GeneMark.hmm|943_aa|-|42187|45018,1736,76529,0.022684211,,
4294|*|gene_2471612|GeneMark.hmm|1123_aa|-|25|3396,11395,503380,0.022636974,,
9634|*|gene_4750662|GeneMark.hmm|886_aa|+|2154|4814,1737,76815,0.022612771,,
11317|*|gene_4419575|GeneMark.hmm|842_aa|-|831|3359,1740,77254,0.022523106,,
2971|*|gene_2775777|GeneMark.hmm|1233_aa|+|1|3702,2314,102742,0.022522435,,
11795|*|gene_1962559|GeneMark.hmm|831_aa|-|18293|20788,4704,209347,0.022469871,,
10508|*|gene_1623423|GeneMark.hmm|861_aa|-|17166|19751,10,446,0.022421525,,
12068|*|gene_1396346|GeneMark.hmm|825_aa|-|14754|17231,4268,190660,0.022385398,,
7041|*|gene_1861907|GeneMark.hmm|981_aa|+|8767|11712,2803,125221,0.022384424,,
7308|*|gene_323938|GeneMark.hmm|969_aa|-|2825|5734,1874,83741,0.022378524,,
10085|*|gene_516573|GeneMark.hmm|873_aa|-|2089|4710,1908,85314,0.022364442,,
13599|*|gene_1024770|GeneMark.hmm|794_aa|-|4528|6912,5,224,0.022321429,,
8297|*|gene_1788902|GeneMark.hmm|929_aa|+|3347|6136,1852,83002,0.022312715,,
691|*|gene_3044817|GeneMark.hmm|1751_aa|+|104757|110012,1761,78965,0.022301019,,
523|*|gene_1887321|GeneMark.hmm|1874_aa|-|2817|8441,319,14312,0.022288988,,
1685|*|gene_3607150|GeneMark.hmm|1402_aa|-|14722|18930,1818,81789,0.022227928,,
4874|*|gene_4767789|GeneMark.hmm|1087_aa|-|18575|21838,1994,89725,0.022223461,,
9374|*|gene_2069719|GeneMark.hmm|894_aa|-|33510|36194,1676,75455,0.022211914,,
4587|*|gene_4150810|GeneMark.hmm|1104_aa|-|15105|18419,7239,326331,0.022182998,,
2446|*|gene_3174701|GeneMark.hmm|1302_aa|-|11110|15018,1942,88025,0.022061914,,
11348|*|gene_33612|GeneMark.hmm|840_aa|+|7238|9760,3,136,0.022058824,,
4184|*|gene_300498|GeneMark.hmm|1131_aa|+|17498|20893,7861,356802,0.022031827,,
4324|*|gene_12390|GeneMark.hmm|1119_aa|-|86960|90319,5,227,0.022026432,,
12395|*|gene_16504|GeneMark.hmm|816_aa|-|38540|40990,1712,77736,0.022023258,,
6148|*|gene_1326733|GeneMark.hmm|1023_aa|-|7|3078,1765,80585,0.021902339,,
2692|*|gene_2406361|GeneMark.hmm|1269_aa|-|1|3807,10080,460484,0.021890011,,
2881|*|gene_3929814|GeneMark.hmm|1242_aa|-|8918|12646,247,11314,0.021831359,,
12960|*|gene_4920866|GeneMark.hmm|806_aa|+|12684|15104,1888,87108,0.021674243,,
10439|*|gene_2008777|GeneMark.hmm|863_aa|-|1073|3664,1801,83145,0.021660954,,
8995|*|gene_4177979|GeneMark.hmm|906_aa|-|23072|25792,1778,82148,0.021643862,,
8701|*|gene_1607081|GeneMark.hmm|915_aa|-|26795|29542,1827,84438,0.021637178,,
7002|*|gene_4147529|GeneMark.hmm|983_aa|-|10242|13193,3569,165424,0.021574862,,
3567|*|gene_2065218|GeneMark.hmm|1177_aa|-|7167|10700,5152,238870,0.021568217,,
3620|*|gene_2761362|GeneMark.hmm|1174_aa|+|4137|7661,2709,125951,0.021508364,,
7335|*|gene_41209|GeneMark.hmm|966_aa|+|12082|14982,35,1634,0.021419829,,
10544|*|gene_1045699|GeneMark.hmm|860_aa|+|21624|24206,8,374,0.021390374,,
2409|*|gene_2218777|GeneMark.hmm|1306_aa|-|5555|9475,1712,80071,0.021381024,,
13804|*|gene_639798|GeneMark.hmm|789_aa|-|33018|35387,1884,88322,0.021331039,,
10390|*|gene_17150|GeneMark.hmm|863_aa|+|33126|35717,4,188,0.021276596,,
14100|*|gene_4146453|GeneMark.hmm|783_aa|+|14223|16574,1865,88386,0.021100627,,
3951|*|gene_2301955|GeneMark.hmm|1148_aa|-|12330|15776,1974,93665,0.021075108,,
2616|*|gene_68204|GeneMark.hmm|1279_aa|+|15480|19319,1635,77798,0.021015964,,
2939|*|gene_3226164|GeneMark.hmm|1237_aa|+|163|3876,1384,65920,0.020995146,,
2929|*|gene_4611010|GeneMark.hmm|1238_aa|+|2|3718,6781,323255,0.020977247,,
5563|*|gene_3289682|GeneMark.hmm|1050_aa|+|1|3153,9142,437242,0.02090833,,
7987|*|gene_43962|GeneMark.hmm|939_aa|-|13595|16414,7,336,0.020833333,,
4447|*|gene_126227|GeneMark.hmm|1112_aa|+|720|4058,4523,217603,0.020785559,,
2987|*|gene_12507|GeneMark.hmm|1230_aa|-|6363|10055,25,1206,0.020729685,,
13885|*|gene_5520|GeneMark.hmm|786_aa|-|34874|37234,1563,75435,0.020719825,,
7574|*|gene_2676824|GeneMark.hmm|957_aa|-|1301|4174,2496,120626,0.020692056,,
3823|*|gene_235417|GeneMark.hmm|1158_aa|+|850|4326,228,11036,0.020659659,,
9453|*|gene_2291320|GeneMark.hmm|891_aa|+|188|2863,5520,267460,0.0206386,,
8938|*|gene_1128626|GeneMark.hmm|907_aa|+|15020|17743,1871,90838,0.020597107,,
4036|*|gene_22901|GeneMark.hmm|1139_aa|-|10140|13559,9,437,0.020594966,,
929|*|gene_3295550|GeneMark.hmm|1622_aa|-|829|5697,2949,143612,0.020534496,,
14794|*|gene_1485312|GeneMark.hmm|770_aa|-|7284|9596,5002,245127,0.020405749,,
15300|*|gene_3890061|GeneMark.hmm|762_aa|-|11926|14214,43,2109,0.02038881,,
7297|*|gene_482546|GeneMark.hmm|970_aa|-|756|3668,148,7261,0.020382867,,
9358|*|gene_2619802|GeneMark.hmm|894_aa|-|2229|4913,1711,84446,0.020261469,,
9222|*|gene_4890255|GeneMark.hmm|898_aa|-|8997|11693,1592,78615,0.020250588,,
4078|*|gene_3185358|GeneMark.hmm|1137_aa|+|70|3483,1907,94292,0.020224409,,
2728|*|gene_2075071|GeneMark.hmm|1262_aa|-|5959|9747,1696,84125,0.020160475,,
10750|*|gene_23742|GeneMark.hmm|855_aa|+|37129|39696,14,696,0.020114943,,
232|*|gene_2742798|GeneMark.hmm|2250_aa|+|5601|12353,789,39255,0.02009935,,
6045|*|gene_1810437|GeneMark.hmm|1028_aa|-|30770|33856,1818,90456,0.020098169,,
249|*|gene_2157639|GeneMark.hmm|2216_aa|+|102|6752,1985,98841,0.020082759,,
4289|*|gene_173|GeneMark.hmm|1122_aa|+|179700|183068,1589,79220,0.020058066,,
9208|*|gene_122124|GeneMark.hmm|899_aa|+|20814|23513,1616,80740,0.020014863,,
3378|*|gene_2029448|GeneMark.hmm|1195_aa|-|12043|15630,1673,83913,0.019937316,,
569|*|gene_41951|GeneMark.hmm|1835_aa|+|13826|19333,52,2609,0.019931008,,
4205|*|gene_3875243|GeneMark.hmm|1129_aa|+|21050|24439,1612,81495,0.019780355,,
10545|*|gene_874401|GeneMark.hmm|860_aa|+|2663|5245,1582,80163,0.01973479,,
15532|*|gene_3976548|GeneMark.hmm|757_aa|+|307|2580,1593,80839,0.019705835,,
4470|*|gene_2494706|GeneMark.hmm|1111_aa|-|2607|5942,83,4214,0.019696251,,
4812|*|gene_1542435|GeneMark.hmm|1091_aa|+|25441|28716,1602,81601,0.019632112,,
319|*|gene_3890947|GeneMark.hmm|2112_aa|+|9739|16077,10308,526082,0.019593904,,
3113|*|gene_2513475|GeneMark.hmm|1220_aa|-|4039|7701,2002,102338,0.019562626,,
10647|*|gene_3507282|GeneMark.hmm|857_aa|-|4228|6801,1592,81393,0.019559422,,
244|*|gene_498779|GeneMark.hmm|2223_aa|+|7963|14634,11,564,0.019503546,,
6155|*|gene_9772|GeneMark.hmm|1021_aa|-|92812|95877,25,1284,0.019470405,,
9374|*|gene_24029|GeneMark.hmm|893_aa|+|29615|32296,4,206,0.019417476,,
12703|*|gene_4888449|GeneMark.hmm|811_aa|+|4218|6653,475,24489,0.019396464,,
14343|*|gene_3224634|GeneMark.hmm|778_aa|+|4829|7165,1584,81884,0.019344438,,
7507|*|gene_11737|GeneMark.hmm|960_aa|+|14130|17012,8,416,0.019230769,,
1011|*|gene_1494860|GeneMark.hmm|1587_aa|-|9480|14243,4,208,0.019230769,,
10397|*|gene_20357|GeneMark.hmm|863_aa|-|31169|33760,1467,76402,0.019201068,,
6007|*|gene_22309|GeneMark.hmm|1028_aa|-|6134|9220,35,1823,0.019199122,,
11719|*|gene_4487683|GeneMark.hmm|833_aa|+|15975|18476,1597,83501,0.019125519,,
9074|*|gene_2283866|GeneMark.hmm|903_aa|-|2768|5479,1528,80053,0.019087355,,
237|*|gene_146161|GeneMark.hmm|2243_aa|+|1034|7765,2397,125827,0.019049965,,
9598|*|gene_4445937|GeneMark.hmm|887_aa|-|11919|14582,102,5359,0.019033402,,
13865|*|gene_2074726|GeneMark.hmm|788_aa|-|3|2366,1522,80177,0.018983,,
3186|*|gene_46198|GeneMark.hmm|1213_aa|-|35416|39057,5636,297461,0.018947022,,
11276|*|gene_4489008|GeneMark.hmm|843_aa|-|22464|24995,1481,78190,0.018941041,,
2702|*|gene_2363157|GeneMark.hmm|1267_aa|+|1617|5420,32,1693,0.018901359,,
2799|*|gene_4568623|GeneMark.hmm|1252_aa|+|18281|22039,1351,71587,0.018872142,,
1739|*|gene_3084995|GeneMark.hmm|1393_aa|-|355|4536,1522,81273,0.018727007,,
4021|*|gene_41759|GeneMark.hmm|1140_aa|+|31393|34815,14,749,0.018691589,,
11257|*|gene_266651|GeneMark.hmm|843_aa|+|26484|29015,60,3227,0.018593121,,
1266|*|gene_35465|GeneMark.hmm|1499_aa|-|2833|7332,7,377,0.018567639,,
3349|*|gene_3918427|GeneMark.hmm|1198_aa|-|3836|7432,1714,92760,0.018477792,,
5323|*|gene_2516208|GeneMark.hmm|1063_aa|-|182|3373,1455,78786,0.018467748,,
1297|*|gene_4883292|GeneMark.hmm|1490_aa|+|687|5159,2409,131246,0.018354845,,
675|*|gene_15859|GeneMark.hmm|1764_aa|+|46429|51723,4,219,0.01826484,,
9481|*|gene_1483860|GeneMark.hmm|890_aa|-|2255|4927,42,2302,0.018245004,,
10713|*|gene_1541123|GeneMark.hmm|856_aa|-|27021|29591,1513,83196,0.01818597,,
1708|*|gene_26818|GeneMark.hmm|1397_aa|+|31775|35968,42,2310,0.018181818,,
314|*|gene_3567741|GeneMark.hmm|2121_aa|+|5896|12261,83,4580,0.018122271,,
14134|*|gene_3654789|GeneMark.hmm|782_aa|+|5229|7577,1448,80042,0.018090502,,
8956|*|gene_2496650|GeneMark.hmm|907_aa|+|1565|4288,1578,87544,0.018025222,,
125|*|gene_630253|GeneMark.hmm|2645_aa|-|31870|39807,775,43090,0.017985612,,
2517|*|gene_22928|GeneMark.hmm|1292_aa|+|28315|32193,11,614,0.017915309,,
6082|*|gene_641964|GeneMark.hmm|1026_aa|+|13276|16356,1403,78617,0.017846013,,
9627|*|gene_3479246|GeneMark.hmm|886_aa|+|682|3342,1432,80298,0.01783357,,
8636|*|gene_2531100|GeneMark.hmm|917_aa|+|2911|5664,1429,80415,0.017770316,,
1689|*|gene_175362|GeneMark.hmm|1402_aa|-|17151|21359,19423,1093317,0.017765204,,
15094|*|gene_2709765|GeneMark.hmm|765_aa|-|8558|10855,2032,114447,0.017754943,,
4200|*|gene_24735|GeneMark.hmm|1128_aa|+|26104|29490,32,1808,0.017699115,,
5868|*|gene_1835930|GeneMark.hmm|1035_aa|-|1553|4660,17,961,0.017689906,,
1771|*|gene_14084|GeneMark.hmm|1387_aa|+|11191|15354,1383,78229,0.017678866,,
